hsv1[0],hsv2[0],hsv3[0],hsv4[0]
118,0,144,258
80,140,332,54
256,134,296,128
50,166,144,86
242,272,192,104
8,136,288,350
118,284,112,132
308,256,30,216
100,38,86,356
336,346,250,130
324,100,140,6
104,96,66,130
38,358,342,96
188,144,260,44
156,312,258,36
294,-1,152,280
264,136,-1,90
352,50,322,250
118,310,174,336
246,340,138,250
170,354,4,140
166,356,74,148
90,322,10,252
144,114,96,118
304,148,250,350
260,182,22,134
340,318,148,306
322,86,128,102
312,332,336,142
224,110,154,264
134,126,170,72
346,78,346,124
348,212,102,334
58,10,124,254
260,168,312,124
180,354,108,322
278,262,224,290
72,294,16,326
290,246,168,158
270,94,132,270
52,234,250,118
24,120,94,344
0,352,242,130
130,328,54,222
350,132,0,18
-1,220,128,8
0,258,58,80
256,156,86,12
76,358,256,340
82,86,128,356
140,162,58,22
94,336,136,316
0,150,326,32
146,18,124,46
12,70,340,8
254,134,126,352
116,342,272,142
328,138,82,158
124,266,304,178
66,140,250,150
256,26,354,0
204,358,234,238
356,244,352,0
44,40,232,136
118,132,2,0
88,4,268,108
140,44,46,246
232,242,162,326
276,344,358,128
332,54,358,-1
150,232,316,160
254,150,216,206
18,248,278,352
