hsv1[0],hsv2[0],hsv3[0],hsv4[0]
284,142,282,10
162,234,124,94
256,2,254,138
212,114,278,330
114,162,338,220
342,78,120,344
288,334,228,326
106,134,24,238
264,268,122,232
72,250,142,238
250,314,236,156
2,134,138,344
26,142,130,10
58,346,314,58
250,30,328,224
318,320,22,358
2,260,144,116
344,358,346,0
36,200,2,192
256,134,290,162
68,152,250,144
348,126,114,150
224,0,40,140
146,348,44,2
14,18,222,354
170,10,56,244
184,262,184,356
350,280,294,286
280,302,194,126
310,98,356,38
156,132,24,126
254,240,202,44
254,4,90,50
118,248,132,104
350,324,10,128
352,224,320,166
216,232,246,228
196,70,246,132
256,112,352,262
260,64,248,212
124,156,140,342
136,150,128,130
232,66,260,90
326,214,152,32
348,148,334,116
0,330,150,76
138,42,80,308
322,246,212,14
50,132,160,174
92,132,232,238
246,104,104,138
110,192,336,4
354,342,100,336
44,254,2,118
332,350,270,110
0,286,148,202
238,96,172,240
328,354,82,242
314,138,130,142
266,244,344,294
254,134,98,270
6,176,0,260
296,308,264,350
252,146,240,84
80,242,246,132
118,274,248,276
102,86,322,2
254,208,0,22
274,168,254,98
20,186,12,68
340,336,346,130
334,242,70,18
244,246,354,250
