hsv1[0],hsv2[0],hsv3[0],hsv4[0]
52,108,352,126
348,240,354,238
130,172,72,230
20,12,-1,266
142,52,108,132
12,336,150,92
102,120,132,12
150,238,230,254
110,180,254,82
250,264,232,324
0,258,232,122
146,4,126,238
106,124,100,104
214,116,118,120
86,18,322,248
138,206,238,318
284,322,140,218
228,92,142,308
146,66,148,148
158,126,344,300
22,144,20,292
126,226,238,102
152,286,156,110
202,350,128,2
330,190,6,350
112,146,124,172
264,236,168,234
186,146,2,278
144,96,26,54
228,344,132,32
222,244,130,90
134,12,326,112
308,358,144,340
138,134,226,156
164,128,110,4
116,260,344,124
236,268,12,10
44,130,80,22
126,244,200,252
154,158,250,14
116,84,142,264
294,8,102,202
-1,308,134,92
156,314,184,142
8,138,334,164
246,350,154,30
216,192,74,84
12,222,282,342
122,24,72,20
140,152,2,246
176,250,316,242
140,160,12,126
228,278,178,108
140,112,90,-1
344,246,240,152
6,70,134,216
104,302,8,134
146,80,148,142
14,230,158,126
356,16,132,244
154,8,358,124
144,74,260,274
200,-1,306,132
14,130,74,80
26,328,6,18
238,236,140,180
138,106,208,194
30,140,2,146
138,218,138,248
138,292,48,120
318,130,290,12
118,130,330,4
232,252,220,118
