hsv1[0],hsv2[0],hsv3[0],hsv4[0]
333,287,302,108
246,116,0,340
260,266,249,12
64,106,333,245
94,303,2,80
266,136,258,248
82,244,287,34
106,342,122,20
292,90,262,92
2,120,262,214
14,6,6,78
283,316,72,256
232,248,354,84
336,358,10,348
32,80,24,4
352,250,278,106
313,24,102,240
104,216,186,104
356,32,8,18
230,118,200,298
18,272,270,352
241,294,8,4
52,16,322,124
108,348,309,156
30,208,340,319
98,258,100,98
236,200,239,358
200,2,352,104
246,76,64,306
216,178,248,8
6,308,40,90
106,248,140,190
247,130,6,6
44,4,236,252
210,10,10,8
102,82,316,236
276,18,50,124
36,244,94,104
104,106,112,122
0,249,126,28
242,240,126,256
248,72,78,114
344,328,106,108
72,246,88,198
136,28,4,244
112,58,106,262
100,98,108,50
110,46,154,138
302,70,60,72
158,230,76,8
102,150,20,8
250,2,16,256
4,234,232,110
249,12,172,176
316,10,348,228
8,100,224,10
2,226,30,116
322,16,20,276
358,334,257,252
14,92,334,32
236,100,104,250
340,110,350,344
22,236,154,12
98,350,218,12
28,4,236,226
254,6,26,332
354,128,266,324
2,106,126,102
24,194,100,70
222,112,258,58
186,322,250,274
110,246,106,308
