hsv1[0],hsv2[0],hsv3[0],hsv4[0]
4,94,16,156
2,226,324,346
332,100,30,14
4,10,264,8
46,70,24,4
22,330,358,248
242,214,146,128
310,78,12,0
22,8,38,200
18,90,16,248
8,238,12,134
228,160,8,14
280,234,262,290
252,280,278,254
18,316,280,212
12,66,318,28
358,228,86,282
152,12,22,114
12,94,24,8
50,152,26,2
70,6,270,70
358,8,32,104
354,156,282,240
6,28,264,68
294,16,30,160
250,80,10,26
320,24,32,58
102,238,290,224
32,120,8,324
230,94,18,10
350,182,94,46
228,250,26,20
250,88,248,356
248,358,180,68
222,332,116,6
86,8,4,80
354,348,46,250
248,54,60,84
4,266,30,248
250,8,32,88
352,118,264,112
274,88,28,70
356,4,212,50
26,2,264,120
250,60,86,62
22,134,8,12
248,34,8,340
238,128,276,128
328,234,266,6
262,126,340,244
36,10,38,12
340,80,2,8
270,250,270,16
6,16,104,248
2,80,34,252
344,342,6,182
160,8,14,306
356,36,266,244
258,240,244,290
248,216,196,22
16,30,40,118
14,44,12,22
16,10,302,32
42,358,264,82
250,280,6,272
4,200,70,78
284,104,40,58
26,122,34,38
46,236,34,92
146,264,286,6
224,124,284,334
250,290,344,248
358,88,10,8
