hsv1[0],hsv2[0],hsv3[0],hsv4[0]
252,212,342,38
112,236,24,30
200,54,332,350
56,204,6,352
352,36,354,232
324,250,0,114
262,268,118,344
304,116,342,126
10,16,234,234
354,350,350,216
254,230,230,352
308,146,142,350
112,196,350,248
102,90,240,274
350,352,350,10
136,356,302,122
152,246,160,232
88,332,280,176
220,344,136,18
350,128,116,196
222,4,62,84
356,148,328,82
316,100,114,352
190,292,236,4
244,236,160,74
82,314,72,356
344,132,236,250
244,186,94,342
340,78,268,56
288,350,250,170
346,346,206,108
246,120,256,184
226,10,350,16
242,348,242,234
340,222,8,204
242,82,126,288
34,284,80,348
334,104,108,330
236,238,128,228
108,110,116,318
28,154,212,354
320,140,42,98
6,244,188,294
164,126,336,138
0,260,32,308
330,228,348,224
52,336,236,150
268,306,114,104
230,146,250,124
280,340,104,122
160,352,338,130
168,66,52,334
296,124,318,234
246,298,16,144
330,114,194,26
246,254,328,112
76,352,352,352
348,274,294,112
104,158,312,46
350,168,84,110
26,326,116,262
348,126,142,96
18,134,356,246
246,236,322,340
354,328,284,234
234,136,20,340
248,322,240,320
210,40,220,2
14,236,260,212
40,234,224,128
354,216,180,114
122,24,244,352
274,180,144,62
