hsv1[0],hsv2[0],hsv3[0],hsv4[0]
350,234,14,54
358,214,22,308
38,234,214,194
356,316,220,234
2,126,244,-1
212,16,348,356
-1,34,6,132
-1,356,282,346
224,220,198,126
230,140,354,90
334,102,48,356
26,354,256,66
354,120,122,230
244,150,234,18
144,118,162,36
342,136,134,126
96,10,234,298
230,186,14,358
290,144,312,120
12,226,354,212
340,20,236,348
0,350,18,0
2,340,130,216
232,358,336,30
230,346,148,230
16,120,124,138
138,108,264,106
222,210,10,-1
112,22,276,230
172,54,108,84
354,82,354,4
352,306,234,254
198,14,290,344
230,-1,58,350
342,288,350,220
224,262,328,160
326,234,30,350
358,196,210,352
278,354,358,272
50,234,218,316
130,224,146,134
128,246,344,144
238,44,36,42
346,118,156,98
254,348,98,236
214,242,204,340
352,156,240,114
140,0,76,342
298,-1,226,328
218,84,68,122
354,88,346,222
204,356,194,120
152,130,238,204
316,26,-1,174
120,58,170,10
60,332,318,330
348,326,126,248
176,2,112,120
162,180,90,124
158,230,324,240
338,6,228,100
262,204,140,76
166,254,-1,136
8,336,116,134
156,72,86,122
72,296,148,286
140,344,340,336
330,112,250,22
236,140,332,168
356,354,234,228
30,238,124,130
308,276,298,22
210,128,0,184
